Date Scraped,Title,news_summary,news_card_image,Date Published,Link,Publication,Author
2025-05-12,audi cost cutting could see it sell italdesign - report,"the company behind automotive icons, such as the volkswagen golf, fiat uno, bmw m1 and dmc delorean, could be sold by audi.",https://images.7news.com.au/publication/C-18650485/def7314ff1a16686242f3180fbfd1aeaeec1c5ed-16x9-x0y207w3973h2235.jpg,11/05/2025,https://7news.com.au/motoring/audi-cost-cutting-could-see-it-sell-italdesign-report-c-18650485,7news.com.au,derek fung
2025-05-12,"superquiz, sunday, may 11",nil,"https://static.ffx.io/images/$zoom_0.9819,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_1,$y_240/t_crop_custom/q_86,e_sharpen:60,f_auto/24d8c9ba98147348592ea2ed292e48328b593d46",10/05/2025,https://www.smh.com.au/national/superquiz-sunday-may-11-20250507-p5lxep.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil
2025-05-12,gold coast recruit daniel rioli ‘emotional’ after leading suns to stunning win over western bulldogs,the prized recruit celebrated his darwin homecoming in style.,https://images.7news.com.au/publication/C-18649951/76be1c8e34db2264147a6bcacb35f9d614e7e0d8-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/gold-coast-recruit-daniel-rioli-emotional-after-leading-suns-to-stunning-win-over-western-bulldogs-c-18649951,7news.com.au,murray wenzel
2025-05-12,unlikely hero mark keane produces one of the marks of the year to help crows win epic showdown,an unheralded defender stepped up to save his side in the final minute of a pulsating thriller.,https://images.7news.com.au/publication/C-18649697/88dd6cb0a1439b6d3a2c7b6abb3fec7369ce7516-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/afl/unlikely-hero-mark-keane-produces-one-of-the-great-marks-to-help-crows-win-epic-showdown-c-18649697,7news.com.au,ben sutton
2025-05-12,wallabies star noah lolesio stretchered off with suspected spinal injury,‘it wasn’t a great sign that he was holding the green whistle.’,https://images.7news.com.au/publication/C-18649387/ec31b6034f04d7c90ee07c636eb060bd7f2c7d3e-16x9-x0y2w1280h720.jpg,10/05/2025,https://7news.com.au/sport/rugby-union/wallabies-superstar-noah-lolesio-stretchered-off-with-suspected-spinal-injury-c-18649387,7news.com.au,darren walton
2025-05-12,aussie duo sally fitzgibbons and julian wilson fall short in gold coast pro final,the veterans had to settle for runner-up trophies after an epic day of action.,https://images.7news.com.au/publication/C-18645294/f1f26c310a4c27728ba7fd56798aac7f454b51f7-16x9-x0y0w1280h720.jpg,10/05/2025,https://7news.com.au/sport/surfing/aussie-duo-sally-fitzgibbons-and-julian-wilson-fall-short-in-gold-coast-pro-final-c-18645294,7news.com.au,melissa woods
2025-05-12,mutual respect is the foundation of our democracy,nil,"https://static.ffx.io/images/$zoom_0.2428,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_34,$y_0/t_crop_custom/q_86,f_auto/5b9aa3f98f5d9b37a2444ece5159b3e43d378b41",10/05/2025,https://www.smh.com.au/national/nsw/mutual-respect-is-the-foundation-of-our-democracy-20250504-p5lwd3.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil
2025-05-12,stars help struggling footy team to a win,nil,,10/05/2025,https://www.youtube.com/watch?v=GNIaplFTZ0w,9news australia,9 news australia
2025-05-12,paralysed teenager’s inspiring path to recovery,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/d0feb94e759e33168e0936b6e6244e0e0951e79b",10/05/2025,https://www.smh.com.au/national/paralysed-teenager-s-inspiring-path-to-recovery-20250510-p5ly5f.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil
2025-05-12,pope leo delivers first sermon; pakistan retaliates after indian missile strikes | 9 news australia,nil,,10/05/2025,https://www.youtube.com/watch?v=Bt7FJbfq_Gs,9news australia,9 news australia
